Date,US_Diesel,UK_Diesel,Nigeria_Diesel
6/1/2015,2.873,6.149965948,1.454544
7/1/2015,2.788,6.022632627,1.35135
8/1/2015,2.595,5.666055969,1.493856
9/1/2015,2.505,5.570131683,1.542996
10/1/2015,2.519,5.61432766,1.5444
11/1/2015,2.467,5.58592299,1.54791
12/1/2015,2.31,5.46649361,1.511055
1/1/2016,2.143,5.200410287,1.552824
2/1/2016,1.998,5.124237923,1.42506
3/1/2016,2.09,5.194142663,1.57248
4/1/2016,2.152,5.424654549,1.52334
5/1/2016,2.315,5.532569612,1.39776
6/1/2016,2.423,5.673893169,1.756755
7/1/2016,2.405,5.714160937,2.004912
8/1/2016,2.351,5.614419522,1.906632
9/1/2016,2.394,5.743626561,1.862406
10/1/2016,2.454,5.865889312,1.76904
11/1/2016,2.439,6.003769281,1.79361
12/1/2016,2.51,5.942899645,1.76904
1/1/2017,2.58,6.187961861,1.945944
2/1/2017,2.568,6.228918976,2.476656
3/1/2017,2.554,6.205638751,2.50614
4/1/2017,2.583,6.081463483,2.437344
5/1/2017,2.56,5.954976191,2.044224
6/1/2017,2.511,5.961975923,2.174445
7/1/2017,2.496,5.853464693,1.81935936
8/1/2017,2.595,5.952338364,1.81061244
9/1/2017,2.785,6.113144349,1.798524
10/1/2017,2.794,6.104376564,1.98198
11/1/2017,2.909,6.224723398,1.896804
12/1/2017,2.909,6.265177629,2.067975
1/1/2018,3.018,6.317937377,2.03931
2/1/2018,3.046,6.323425365,2.0167056
3/1/2018,2.988,6.228701824,1.977885
4/1/2018,3.096,6.297906413,2.041767
5/1/2018,3.244,6.507459634,1.798524
6/1/2018,3.253,6.689363878,1.81847484
7/1/2018,3.233,6.685360394,1.808352
8/1/2018,3.218,6.720501941,1.91646
9/1/2018,3.262,6.821576041,2.01474
10/1/2018,3.365,6.929813206,2.16216
11/1/2018,3.3,6.952235527,2.044224
12/1/2018,3.123,6.645126814,2.201472
1/1/2019,2.98,6.557075374,2.280096
2/1/2019,2.997,6.540102643,2.272725
3/1/2019,3.076,6.630571411,2.250612
4/1/2019,3.121,6.738890496,2.2707594
5/1/2019,3.161,6.864471847,2.26044
6/1/2019,3.089,6.766169031,2.348892
7/1/2019,3.045,6.683500275,2.248155
8/1/2019,3.005,6.724889106,2.149875
9/1/2019,3.016,6.658628466,2.149875
10/1/2019,3.053,6.690200123,2.2113
11/1/2019,3.069,6.608594198,2.191644
12/1/2019,3.055,6.565276567,2.272725
1/1/2020,3.048,6.727814643,2.270268
2/1/2020,2.91,6.482038174,2.272725
3/1/2020,2.729,6.294318972,2.132676
4/1/2020,2.493,5.874581467,2.132676
5/1/2020,2.392,5.661656485,2.219110461
6/1/2020,2.408,5.676150968,2.250612
7/1/2020,2.434,5.911823719,2.30958
8/1/2020,2.429,5.968966016,2.230956
9/1/2020,2.414,5.985360741,2.299752
10/1/2020,2.389,5.988225308,2.280096
11/15/2019,2.693,6.373299094,1.419226867
12/15/2019,2.645,6.310883323,1.413977762
1/15/2020,2.636,6.449143622,1.419226867
2/15/2020,2.533,6.268388642,1.413977762
3/15/2020,2.329,6.099077884,1.427100525
4/15/2020,1.938,5.527464439,1.230259074
5/15/2020,1.961,5.31489371,1.215495965
6/15/2020,2.17,5.368416783,1.24600639
7/15/2020,2.272,5.637896356,1.419226867
8/15/2020,2.272,5.719967516,1.448753085
9/15/2020,2.274,5.742620936,1.577192132
